一级意图,二级意图,意图描述,典型表达举例,隐含表达,意图边界,对应承接动作
App操作,开启/关闭短信,开通或关闭手机短信提醒,"1. 我要开通短信提醒
2. 帮我把交易短信关掉","1. 怎么老收不到交易短信
2. 短信通知能取消吗",不包含修改手机号、APP消息提醒设置；仅针对银行交易短信服务,"RAG【各应用操作指引】
（二期）查询短信服务状态 → 提供开通/关闭入口 → 调用短信服务开关API"
,切换适老版/标准版,在标准版本与适老版本间切换,"1.切换为适老版
2.适老版怎么切换","1.字太小了，看不清怎么办
2.我需要更大的按钮",仅面向明确提出切换和文字大小按钮大小问题，不面向内容繁简问题,RAG【各应用操作指引】
,添加银行卡,将用户已有的银行卡（包括他行）添加至手机银行,"1.我想以前办理的银行卡加入手机银行中
2.其他银行的卡可以加入到手机银行吗？","1.怎么找不到我的银行卡信息？
2.我还有其他银行的卡，经常需要互相转账，怎么办？",仅限客户本人持有的银行卡,RAG【各应用操作指引】
,变更账户信息,修改手机号/地址等,"1. 我要改银行预留手机号
2. 修改我的联系地址","1. 换手机号了怎么更新
2. 银行怎么改联系方式",不包含证件变更，仅限个人账户基础信息,RAG【各应用操作指引】
,账户等级查询,账户等级及相关权益查询,"1. 我现在是什么客户等级
2. 我的银行会员等级","1. 我是金卡客户吗
2. 有什么客户权益",不包含信用卡等级查询,"RAG【各应用操作指引】
（二期）调用客户等级API → 展示等级及权益说明"
网银操作,U盾故障,U盾/UKey白屏等数字证书故障。,"1. U盾用不了
2. 插上U盾没反应","1. 网银证书识别不了
2. UKey提示异常",不包含APP登录问题；仅U盾设备或证书问题,RAG【各应用操作指引】
,,,,,,
银行卡账户操作方式查询,挂失/冻结,借记卡、信用卡、存折丢失后的紧急挂失冻结,"1. 我的银行卡丢了要挂失
2. 帮我把卡先冻结","1. 卡找不到了怎么办
2. 怕被盗刷先停用卡",仅限指定卡号，非账户下所有卡号,RAG【零售业务】
,解锁/重置交易密码,用户多次输入错误导致锁定，需要核验后解锁或者重置,"1. 我的交易密码锁了怎么办
2. 帮我重置交易密码","1. 刚才密码输错太多次
2. 为什么转账提示密码锁定",不包含登录密码重置；仅限交易密码/支付密码,RAG【零售业务】
,注销银行卡,借记卡、信用卡、存折的注销,"1. 我要注销银行卡
2. 这张卡不用了帮我销户","1. 不想用这张卡了
2. 可以把账户关掉吗",不包含挂失、冻结；需满足余额为0等销户条件,RAG【零售业务】
,银行卡开户,借记卡账户开通流程,"1. 怎么开银行卡
2. 我要办一张借记卡","1. 新用户怎么开户
2. 办卡需要什么材料",不包含企业开户、信用卡申请,RAG【零售业务】
,,,,,,
导航与指引,网点查询,线下营业网点查询、营业时间查询,"“附近周末开门的网点在哪？”
“我要取20万现金，下午去取。”",,强依赖终端的定位授权（LBS）。大额取现通常有基准线（如5万以上需预约）。,RAG【各应用操作指引】
,网点预约,大额取现等业务办理的预约和线上取号,,,,RAG【各应用操作指引】
,人工服务,客户显性要求人工介入，或表达了强烈的不满、投诉情绪。,"“我不想听你废话，给我转人工！”
",,需结合NLP情绪分析判断严重程度。一旦识别为“投诉”，必须绕过后续防御策略。,转接人工服务
,建议反馈,提出建议和反馈,建议优化流程,,-,RAG【各应用操作指引】
投诉,投诉,投诉员工/网点,"我要投诉
我要投诉线下网点乱扣费！",,-,转接人工服务
,业务争议,手续费、逾期费用等争议,为什么会有手续费？,,-,RAG【各应用操作指引】
,,,,,,
银行卡账户查询,余额与明细查询,查询某张卡的余额、流水明细。,"“我卡里还有多少钱？”
“帮我查一下上个月的流水。”
“我账户的开户行网点叫什么？”",,仅限客户名下已绑定、或已授权的账户查询。不含信用卡账单（归属信用卡意图）。,RAG【零售业务】
,总资产负债查询,账户下所有资产贷款查询（活期、定期、理财产品、基金、贵金属、贷款、信用卡等）,"1. 我一共有多少资产
2. 帮我看看账户资产","1. 我有多少理财和存款
2. 总资产是多少",资产总览，非单一卡号、理财产品余额,RAG【零售业务】
,业务进度查询,查询开户、销户等审核进度,我的对公账户开到哪一步了？,,必须已发起申请,RAG【零售业务】
